latitude,longitude,classification
-31.8107,72.7515,Southern Hemisphere
2.6273,-61.6211,Northern Hemisphere
7.6668,33.7649,Northern Hemisphere
-24.8797,-67.4264,Southern Hemisphere
46.7983,98.8595,Northern Hemisphere
76.9811,125.685,Northern Hemisphere
-68.1433,109.5969,Southern Hemisphere
-46.9265,-80.849,Southern Hemisphere
9.4053,178.6063,Northern Hemisphere
74.3274,21.1439,Northern Hemisphere
59.7858,128.9886,Northern Hemisphere
1.597,150.2503,Northern Hemisphere
86.444,99.2277,Northern Hemisphere
-20.9545,91.4834,Southern Hemisphere
68.2787,-130.2755,Northern Hemisphere
52.2011,168.1647,Northern Hemisphere
1.3928,50.911,Northern Hemisphere
-36.2599,-0.1976,Southern Hemisphere
-1.8647,-83.0555,Southern Hemisphere
-27.8777,-82.1826,Southern Hemisphere
-8.038,-146.0426,Southern Hemisphere
35.5497,42.0412,Northern Hemisphere
49.598,134.0469,Northern Hemisphere
36.941,69.4942,Northern Hemisphere
29.464,176.5473,Northern Hemisphere
-0.8408,-89.5876,Southern Hemisphere
16.2325,-22.6457,Northern Hemisphere
-10.7449,-97.7529,Southern Hemisphere
40.0399,117.8606,Northern Hemisphere
-62.215,-5.5433,Southern Hemisphere
-29.059,-63.0294,Southern Hemisphere
63.3178,-25.3184,Northern Hemisphere
-21.5983,-50.6309,Southern Hemisphere
46.6923,-173.5382,Northern Hemisphere
-77.6843,-14.2328,Southern Hemisphere
89.5367,78.1149,Northern Hemisphere
-72.2802,-22.9357,Southern Hemisphere
-10.1379,-17.3837,Southern Hemisphere
-81.7216,-127.1938,Southern Hemisphere
-22.5286,-84.3901,Southern Hemisphere
11.8671,30.5971,Northern Hemisphere
-75.7857,111.5479,Southern Hemisphere
-46.6506,25.7612,Southern Hemisphere
-6.993,-134.0412,Southern Hemisphere
-88.3085,-17.7823,Southern Hemisphere
31.97,79.5114,Northern Hemisphere
-27.7982,-64.991,Southern Hemisphere
-13.6244,-27.8453,Southern Hemisphere
-54.1409,-93.0225,Southern Hemisphere
-47.303,-76.5339,Southern Hemisphere
88.6846,176.03,Northern Hemisphere
28.4814,101.8672,Northern Hemisphere
33.4439,8.828,Northern Hemisphere
19.1532,162.748,Northern Hemisphere
-38.4851,-70.7283,Southern Hemisphere
-26.5822,-68.2396,Southern Hemisphere
31.9976,118.6527,Northern Hemisphere
60.9007,162.6127,Northern Hemisphere
26.3413,79.3482,Northern Hemisphere
14.3233,16.224,Northern Hemisphere
-36.8801,-148.3848,Southern Hemisphere
-66.2112,-5.1319,Southern Hemisphere
5.5534,-30.5149,Northern Hemisphere
-43.7454,-93.2674,Southern Hemisphere
55.1679,60.9687,Northern Hemisphere
-69.2695,25.3363,Southern Hemisphere
83.97,-49.641,Northern Hemisphere
86.3896,-35.1742,Northern Hemisphere
-24.1605,-177.4946,Southern Hemisphere
6.583,121.1091,Northern Hemisphere
31.0213,148.0351,Northern Hemisphere
79.2525,42.0879,Northern Hemisphere
-85.4956,101.0533,Southern Hemisphere
74.7461,11.3791,Northern Hemisphere
58.294,-125.6058,Northern Hemisphere
-16.5067,-9.6729,Southern Hemisphere
-35.2144,-162.5054,Southern Hemisphere
69.7067,81.6559,Northern Hemisphere
30.6875,170.2753,Northern Hemisphere
-14.5572,-152.1859,Southern Hemisphere
-15.3208,-91.9175,Southern Hemisphere
-16.5391,5.8889,Southern Hemisphere
-23.3046,-8.9001,Southern Hemisphere
63.981,123.4224,Northern Hemisphere
8.0039,-115.4387,Northern Hemisphere
-18.3349,-158.0113,Southern Hemisphere
62.646,119.2984,Northern Hemisphere
25.5068,3.8443,Northern Hemisphere
51.623,22.6663,Northern Hemisphere
11.624,137.7283,Northern Hemisphere
-52.7117,-23.4548,Southern Hemisphere
-30.8593,-17.9044,Southern Hemisphere
-89.4896,26.0438,Southern Hemisphere
-66.6014,-148.5905,Southern Hemisphere
28.9904,2.6749,Northern Hemisphere
52.1972,58.2789,Northern Hemisphere
-58.6357,-46.4907,Southern Hemisphere
4.6954,85.7243,Northern Hemisphere
50.0431,19.6297,Northern Hemisphere
0.691,-172.1943,Northern Hemisphere
50.9809,-86.1388,Northern Hemisphere
-7.5523,10.9486,Southern Hemisphere
-3.7833,-56.5025,Southern Hemisphere
-1.7516,13.2283,Southern Hemisphere
-75.4577,-168.1772,Southern Hemisphere
-40.4971,-81.2958,Southern Hemisphere
-31.4666,95.5002,Southern Hemisphere
-8.3312,-162.1479,Southern Hemisphere
36.3203,-62.835,Northern Hemisphere
48.4133,38.7042,Northern Hemisphere
-8.7201,-118.9923,Southern Hemisphere
-8.3702,-162.8845,Southern Hemisphere
-13.1825,-112.6258,Southern Hemisphere
-62.525,12.084,Southern Hemisphere
59.7189,17.3816,Northern Hemisphere
42.9833,100.1467,Northern Hemisphere
15.5637,59.3363,Northern Hemisphere
-67.9984,-60.2387,Southern Hemisphere
45.0512,-50.2091,Northern Hemisphere
84.3118,63.2963,Northern Hemisphere
14.0253,118.2125,Northern Hemisphere
-49.6359,-27.8328,Southern Hemisphere
-23.839,-76.662,Southern Hemisphere
55.2998,175.4184,Northern Hemisphere
57.3168,115.6858,Northern Hemisphere
-85.2743,149.3029,Southern Hemisphere
-41.8594,-53.5142,Southern Hemisphere
-34.3828,-178.901,Southern Hemisphere
66.5753,72.1412,Northern Hemisphere
-64.4626,-174.4817,Southern Hemisphere
44.3001,75.5698,Northern Hemisphere
-28.6387,-50.1127,Southern Hemisphere
49.8304,15.2923,Northern Hemisphere
-80.5304,-68.7891,Southern Hemisphere
31.3144,119.149,Northern Hemisphere
-2.5809,-130.83,Southern Hemisphere
45.8898,77.3845,Northern Hemisphere
-39.0156,-92.4061,Southern Hemisphere
30.0839,71.1474,Northern Hemisphere
17.8785,54.2555,Northern Hemisphere
-51.9779,-134.0065,Southern Hemisphere
-30.938,-45.5375,Southern Hemisphere
-58.3749,-53.3392,Southern Hemisphere
0.0472,145.116,Northern Hemisphere
-77.0264,7.6144,Southern Hemisphere
-86.6265,155.1798,Southern Hemisphere
13.6366,127.7098,Northern Hemisphere
-14.8151,-176.2458,Southern Hemisphere
-31.5417,-68.7375,Southern Hemisphere
59.7647,-164.1366,Northern Hemisphere
62.0072,105.9968,Northern Hemisphere
4.3133,55.8494,Northern Hemisphere
-28.8876,-149.7361,Southern Hemisphere
1.887,91.7914,Northern Hemisphere
73.0661,130.9282,Northern Hemisphere
57.4107,42.5284,Northern Hemisphere
-63.64,-71.5682,Southern Hemisphere
46.8388,31.8863,Northern Hemisphere
49.1127,135.8002,Northern Hemisphere
46.7779,166.3478,Northern Hemisphere
11.6085,112.4139,Northern Hemisphere
65.5644,27.1723,Northern Hemisphere
-77.7085,-125.4923,Southern Hemisphere
-40.5587,-88.6794,Southern Hemisphere
-34.1266,-169.7598,Southern Hemisphere
59.7054,155.565,Northern Hemisphere
63.9528,91.2722,Northern Hemisphere
-6.7119,-37.4728,Southern Hemisphere
71.2578,145.7669,Northern Hemisphere
27.3307,85.6132,Northern Hemisphere
-62.845,-161.3697,Southern Hemisphere
71.8428,128.5768,Northern Hemisphere
0.8188,44.5939,Northern Hemisphere
-11.2035,-85.9054,Southern Hemisphere
-61.4257,-129.0792,Southern Hemisphere
-16.4215,-72.3805,Southern Hemisphere
52.0608,11.8641,Northern Hemisphere
-72.9889,-128.8535,Southern Hemisphere
40.2721,163.1417,Northern Hemisphere
67.1903,104.8931,Northern Hemisphere
-64.5429,-5.8146,Southern Hemisphere
35.7264,107.1074,Northern Hemisphere
78.8404,67.8023,Northern Hemisphere
52.4992,120.621,Northern Hemisphere
59.2126,123.3746,Northern Hemisphere
4.7508,76.2131,Northern Hemisphere
-24.8709,-147.5527,Southern Hemisphere
-51.4453,87.5288,Southern Hemisphere
-49.2223,-166.1103,Southern Hemisphere
61.9971,138.7574,Northern Hemisphere
60.3216,-173.2055,Northern Hemisphere
-29.3824,-156.4112,Southern Hemisphere
-22.1904,-30.3579,Southern Hemisphere
48.7976,29.797,Northern Hemisphere
-11.2188,-58.2547,Southern Hemisphere
-47.2446,-128.713,Southern Hemisphere
44.7366,96.122,Northern Hemisphere
-34.2958,-95.5772,Southern Hemisphere
60.3204,170.4834,Northern Hemisphere
87.1992,50.7189,Northern Hemisphere
-21.263,-6.0717,Southern Hemisphere
57.0404,24.9117,Northern Hemisphere
-44.9994,-22.6589,Southern Hemisphere
9.8173,152.2606,Northern Hemisphere
63.2099,137.361,Northern Hemisphere
-40.8976,26.5228,Southern Hemisphere
-11.2549,39.9668,Southern Hemisphere
-8.797,-175.1994,Southern Hemisphere
-80.4138,-137.5599,Southern Hemisphere
89.0146,5.0738,Northern Hemisphere
77.5487,116.9929,Northern Hemisphere
52.4485,51.6383,Northern Hemisphere
59.3571,24.9827,Northern Hemisphere
36.9965,0.9452,Northern Hemisphere
-75.7394,-29.7066,Southern Hemisphere
8.7848,94.9989,Northern Hemisphere
-69.9864,-125.7928,Southern Hemisphere
-81.4051,-37.0982,Southern Hemisphere
-7.7195,-17.0736,Southern Hemisphere
17.413,92.7676,Northern Hemisphere
-46.4511,-102.737,Southern Hemisphere
20.6657,74.9822,Northern Hemisphere
29.5868,175.4378,Northern Hemisphere
-77.8177,-88.681,Southern Hemisphere
87.8997,70.2817,Northern Hemisphere
-5.3757,-3.4129,Southern Hemisphere
-44.343,-38.0664,Southern Hemisphere
-27.9356,-66.9137,Southern Hemisphere
48.8702,59.8533,Northern Hemisphere
-82.0196,-33.5684,Southern Hemisphere
-58.484,-96.3679,Southern Hemisphere
35.1701,146.0696,Northern Hemisphere
-78.6419,-97.6177,Southern Hemisphere
-37.1803,-144.0954,Southern Hemisphere
-82.4569,92.769,Southern Hemisphere
88.0421,45.5965,Northern Hemisphere
45.5924,64.2554,Northern Hemisphere
50.5515,-120.2536,Northern Hemisphere
-67.5945,-19.8924,Southern Hemisphere
43.7954,-110.4039,Northern Hemisphere
85.2702,89.5542,Northern Hemisphere
76.3759,144.2067,Northern Hemisphere
40.8746,108.4416,Northern Hemisphere
58.0214,57.8181,Northern Hemisphere
-75.5876,-124.8307,Southern Hemisphere
18.4719,124.1577,Northern Hemisphere
-26.7215,-23.3933,Southern Hemisphere
-26.5393,49.42,Southern Hemisphere
86.4049,-166.4926,Northern Hemisphere
24.7523,144.1973,Northern Hemisphere
32.2939,-154.2997,Northern Hemisphere
19.3631,6.2638,Northern Hemisphere
-77.898,-114.0609,Southern Hemisphere
-21.0862,-71.0829,Southern Hemisphere
32.2312,-113.0376,Northern Hemisphere
47.3552,95.3028,Northern Hemisphere
-18.3539,-135.0699,Southern Hemisphere
-69.5792,-90.1721,Southern Hemisphere
-20.3423,-132.8802,Southern Hemisphere
-43.1478,-0.6543,Southern Hemisphere
-38.5962,88.416,Southern Hemisphere
-67.9253,81.3677,Southern Hemisphere
71.7622,15.8023,Northern Hemisphere
32.7473,57.5258,Northern Hemisphere
-27.4634,-82.4092,Southern Hemisphere
70.4397,-51.8744,Northern Hemisphere
76.9184,142.8653,Northern Hemisphere
1.576,36.1765,Northern Hemisphere
-65.0022,-175.2689,Southern Hemisphere
9.7239,144.6591,Northern Hemisphere
9.2964,15.5188,Northern Hemisphere
-34.3277,129.3965,Southern Hemisphere
4.6252,148.2011,Northern Hemisphere
-76.7249,115.6209,Southern Hemisphere
-9.0046,-117.9873,Southern Hemisphere
68.0328,115.1629,Northern Hemisphere
-57.2466,77.8713,Southern Hemisphere
73.9282,22.349,Northern Hemisphere
-62.4572,-121.9211,Southern Hemisphere
37.6798,169.3627,Northern Hemisphere
71.0867,45.109,Northern Hemisphere
24.3103,22.5307,Northern Hemisphere
-35.4916,-89.5368,Southern Hemisphere
-59.6455,27.755,Southern Hemisphere
28.5719,108.925,Northern Hemisphere
61.6554,148.5425,Northern Hemisphere
-84.8928,-64.5383,Southern Hemisphere
13.8188,138.0526,Northern Hemisphere
-15.0144,-90.3531,Southern Hemisphere
22.8895,172.197,Northern Hemisphere
-3.0699,-56.7016,Southern Hemisphere
-36.4619,-169.2157,Southern Hemisphere
-10.871,-143.2759,Southern Hemisphere
19.1988,129.3053,Northern Hemisphere
42.156,-4.4327,Northern Hemisphere
-66.4621,-78.9028,Southern Hemisphere
-32.5591,-131.8551,Southern Hemisphere
-45.3746,-127.7618,Southern Hemisphere
-20.853,-135.3113,Southern Hemisphere
65.7554,58.9384,Northern Hemisphere
13.9837,137.3618,Northern Hemisphere
-0.3122,-90.2233,Southern Hemisphere
-34.4627,-9.8581,Southern Hemisphere
0.98,-141.274,Northern Hemisphere
-26.4789,-90.919,Southern Hemisphere
68.8211,84.7056,Northern Hemisphere
6.6043,77.567,Northern Hemisphere
68.842,137.4942,Northern Hemisphere
-24.1313,-77.3493,Southern Hemisphere
-54.962,-166.7643,Southern Hemisphere
0.766,50.3497,Northern Hemisphere
88.0363,21.386,Northern Hemisphere
85.5149,143.0815,Northern Hemisphere
-28.9646,135.8937,Southern Hemisphere
-54.1696,-89.986,Southern Hemisphere
-81.8454,-120.0527,Southern Hemisphere
-4.7261,-70.8731,Southern Hemisphere
2.791,110.3523,Northern Hemisphere
-60.7496,133.0775,Southern Hemisphere
-36.1378,-30.9079,Southern Hemisphere
5.8212,53.9623,Northern Hemisphere
56.8348,121.2852,Northern Hemisphere
86.3816,143.4159,Northern Hemisphere
40.5584,4.7965,Northern Hemisphere
-4.5738,140.9227,Southern Hemisphere
49.7092,129.852,Northern Hemisphere
15.0342,113.2245,Northern Hemisphere
21.5524,26.5996,Northern Hemisphere
32.5308,170.6769,Northern Hemisphere
-70.2188,-123.5354,Southern Hemisphere
-62.7424,-106.1321,Southern Hemisphere
49.495,-22.8928,Northern Hemisphere
42.4507,24.8548,Northern Hemisphere
-52.6785,-60.7992,Southern Hemisphere
4.5859,31.1728,Northern Hemisphere
74.1823,63.7717,Northern Hemisphere
48.9582,115.7956,Northern Hemisphere
34.7964,34.6076,Northern Hemisphere
-45.6266,-139.5239,Southern Hemisphere
85.1239,52.0207,Northern Hemisphere
-52.69,-122.9327,Southern Hemisphere
-27.2154,143.173,Southern Hemisphere
-40.7776,-58.208,Southern Hemisphere
-21.655,147.3079,Southern Hemisphere
81.8296,52.2815,Northern Hemisphere
-38.2265,-117.6546,Southern Hemisphere
-10.3723,-93.7657,Southern Hemisphere
-53.6278,-12.0557,Southern Hemisphere
35.3108,110.8219,Northern Hemisphere
15.6295,120.5701,Northern Hemisphere
5.5875,9.4484,Northern Hemisphere
-15.6058,-161.9019,Southern Hemisphere
48.7379,99.0635,Northern Hemisphere
77.2379,168.3058,Northern Hemisphere
68.1119,35.9021,Northern Hemisphere
83.5045,116.2616,Northern Hemisphere
73.4287,103.344,Northern Hemisphere
6.3274,168.6005,Northern Hemisphere
74.3814,158.8041,Northern Hemisphere
-58.358,179.4909,Southern Hemisphere
-18.541,-11.4104,Southern Hemisphere
83.1836,-22.1862,Northern Hemisphere
-88.3319,-160.6859,Southern Hemisphere
86.9389,178.0379,Northern Hemisphere
7.7941,168.9409,Northern Hemisphere
63.1908,34.7061,Northern Hemisphere
-69.7236,-97.3954,Southern Hemisphere
-43.6923,-47.4088,Southern Hemisphere
52.3382,136.3109,Northern Hemisphere
-58.4109,161.4677,Southern Hemisphere
58.8582,15.6128,Northern Hemisphere
30.4661,25.3101,Northern Hemisphere
-31.7517,-133.0587,Southern Hemisphere
-47.6062,-8.2737,Southern Hemisphere
-35.6497,-177.9416,Southern Hemisphere
27.663,11.1824,Northern Hemisphere
-68.7195,-107.025,Southern Hemisphere
0.4537,-53.3597,Northern Hemisphere
-34.024,-15.0965,Southern Hemisphere
-36.8932,-140.5569,Southern Hemisphere
-65.9576,-45.4077,Southern Hemisphere
19.033,98.8622,Northern Hemisphere
-5.2509,-60.463,Southern Hemisphere
-50.6859,-44.1469,Southern Hemisphere
67.1643,80.4146,Northern Hemisphere
36.6779,101.5504,Northern Hemisphere
-78.8836,-89.0123,Southern Hemisphere
13.0863,59.0612,Northern Hemisphere
3.6615,36.9723,Northern Hemisphere
14.9666,91.8676,Northern Hemisphere
55.5646,92.3846,Northern Hemisphere
-7.7763,-96.7719,Southern Hemisphere
55.2448,71.2708,Northern Hemisphere
56.9616,104.096,Northern Hemisphere
-81.8478,-168.5232,Southern Hemisphere
88.9423,-167.5766,Northern Hemisphere
78.0796,73.596,Northern Hemisphere
48.415,176.1,Northern Hemisphere
26.2585,178.7142,Northern Hemisphere
-21.1537,163.2181,Southern Hemisphere
-22.3838,-60.8773,Southern Hemisphere
7.074,62.5986,Northern Hemisphere
-57.8747,-84.8083,Southern Hemisphere
41.0145,0.6252,Northern Hemisphere
-85.9076,-58.77,Southern Hemisphere
8.0002,148.2049,Northern Hemisphere
-45.4478,-130.383,Southern Hemisphere
78.7339,20.312,Northern Hemisphere
55.7061,137.8896,Northern Hemisphere
69.0762,37.0947,Northern Hemisphere
-71.8386,-72.3987,Southern Hemisphere
36.5915,133.2974,Northern Hemisphere
-17.5922,-140.8915,Southern Hemisphere
65.4714,90.7013,Northern Hemisphere
-37.9326,-48.3269,Southern Hemisphere
-32.5973,-58.9443,Southern Hemisphere
-32.2803,-154.2131,Southern Hemisphere
28.8382,54.0902,Northern Hemisphere
-79.0276,158.3485,Southern Hemisphere
74.084,76.8961,Northern Hemisphere
-0.7883,169.4856,Southern Hemisphere
30.8417,57.3722,Northern Hemisphere
-15.0616,-112.2372,Southern Hemisphere
45.7949,152.8814,Northern Hemisphere
-35.8674,-34.9603,Southern Hemisphere
